par,p_valor,p_valor_ajustado
maceracion vs soxhlet,5.4720713527285666e-21,8.20810702909285e-21
maceracion vs ultrasonido,3.344253586937915e-25,1.0032760760813746e-24
soxhlet vs ultrasonido,0.01223159608266212,0.01223159608266212
