grupo1,grupo2,meandiff,p_ajustada,lower,upper,significativo
F329,F348,-0.6392,0.9936,-6.9201,5.6416,False
F329,F39,17.9412,0.0,11.6603,24.222,True
F329,F436,4.0471,0.3427,-2.2338,10.3279,False
F348,F39,18.5804,0.0,12.2995,24.8613,True
F348,F436,4.6863,0.2176,-1.5946,10.9671,False
F39,F436,-13.8941,0.0,-20.175,-7.6133,True
