cepa,n,media,se,ic95_inf,ic95_sup
F39,51,24.303921568627455,2.8349222222402286,18.609812707049905,29.998030430205006
F436,51,10.409803921568628,1.3739402473006725,7.650163718370889,13.169444124766366
F329,51,6.362745098039215,0.9495962435473948,4.455424910245442,8.270065285832988
F348,51,5.723529411764707,0.963606738739141,3.7880683161885074,7.658990507340906
