efecto,coeficiente,error_estandar,t,p_valor,ic95_inferior,ic95_superior
Intercept,5.9422,0.1438,41.3241,0.0,5.6604,6.2241
C(trt)[T.T0],-0.6322,0.0898,-7.0435,0.0,-0.8082,-0.4563
C(trt)[T.T1],-0.0744,0.0898,-0.8294,0.4069,-0.2504,0.1015
C(trt)[T.T2],0.1456,0.0898,1.6216,0.1049,-0.0304,0.3215
Group Var,4.1329,2.5304,1.6333,0.1024,-0.8268,9.0925
