metodo_extraccion,aislamiento,replica,crecimiento_micelial_mm,porcentaje_inhibicion_micelial,conidias_log10_ml,porcentaje_inhibicion_conidias,control_crecimiento_mm,control_conidias_log10
maceracion,FU1,1,0,100.0,6.08,21.44702842377261,64.0,7.74
maceracion,FU1,2,0,100.0,5.78,25.32299741602067,64.0,7.74
maceracion,FU1,3,0,100.0,5.79,25.19379844961241,64.0,7.74
maceracion,FU2 (UCMU21),1,0,100.0,0.0,100.0,64.0,6.95
maceracion,FU2 (UCMU21),2,0,100.0,4.48,35.53956834532374,64.0,6.95
maceracion,FU2 (UCMU21),3,0,100.0,0.0,100.0,64.0,6.95
maceracion,FUSARIUM JULIAN H20,1,12,82.3529411764706,5.79,16.08695652173913,68.0,6.9
maceracion,FUSARIUM JULIAN H20,2,20,70.58823529411765,5.54,19.71014492753623,68.0,6.9
maceracion,FUSARIUM JULIAN H20,3,12,82.3529411764706,5.91,14.34782608695653,68.0,6.9
maceracion,FUSARIUM MARCE 1.2,1,0,100.0,5.95,23.52185089974293,60.0,7.78
maceracion,FUSARIUM MARCE 1.2,2,0,100.0,6.11,21.46529562982005,60.0,7.78
maceracion,FUSARIUM MARCE 1.2,3,16,73.33333333333333,6.49,16.58097686375321,60.0,7.78
soxhlet,HC3,1,30,55.88235294117647,8.0,-3.896103896103894,68.0,7.7
soxhlet,HC3,2,22,67.6470588235294,7.8,-1.298701298701294,68.0,7.7
soxhlet,HC3,3,18,73.52941176470588,8.09,-5.064935064935061,68.0,7.7
soxhlet,HC5,1,18,60.8695652173913,6.34,3.939393939393936,46.0,6.6
soxhlet,HC5,2,20,56.52173913043478,6.28,4.84848484848484,46.0,6.6
soxhlet,HC5,3,24,47.82608695652174,6.62,-0.30303030303031,46.0,6.6
soxhlet,HC6,1,36,33.33333333333334,7.34,1.211305518169581,54.0,7.43
soxhlet,HC6,2,34,37.03703703703704,7.44,-0.1345895020188516,54.0,7.43
soxhlet,HC6,3,30,44.44444444444444,6.96,6.325706594885595,54.0,7.43
soxhlet,HC9,1,15,76.5625,7.02,2.904564315352709,64.0,7.23
soxhlet,HC9,2,10,84.375,7.24,-0.1383125864453636,64.0,7.23
soxhlet,HC9,3,12,81.25,7.35,-1.659751037344387,64.0,7.23
soxhlet,HC10,1,36,40.0,5.78,17.89772727272727,60.0,7.04
soxhlet,HC10,2,20,66.66666666666667,5.78,17.89772727272727,60.0,7.04
soxhlet,HC10,3,32,46.66666666666666,6.66,5.397727272727271,60.0,7.04
soxhlet,HC15,1,32,46.66666666666666,7.83,-2.621231979030147,60.0,7.63
soxhlet,HC15,2,20,66.66666666666667,7.27,4.718217562254264,60.0,7.63
soxhlet,HC15,3,32,46.66666666666666,7.79,-2.096985583224117,60.0,7.63
soxhlet,HC16,1,20,65.51724137931035,6.36,7.153284671532837,58.0,6.85
soxhlet,HC16,2,16,72.41379310344827,6.23,9.051094890510939,58.0,6.85
soxhlet,HC16,3,36,37.93103448275862,6.94,-1.313868613138697,58.0,6.85
soxhlet,HC17,1,34,54.66666666666666,7.64,0.5208333333333338,75.0,7.68
soxhlet,HC17,2,34,54.66666666666666,7.82,-1.822916666666674,75.0,7.68
soxhlet,HC17,3,24,68.0,7.79,-1.432291666666671,75.0,7.68
soxhlet,HC19,1,28,39.1304347826087,7.16,-3.768115942028982,46.0,6.9
soxhlet,HC19,2,20,56.52173913043478,7.16,-3.768115942028982,46.0,6.9
soxhlet,HC19,3,40,13.04347826086956,7.23,-4.782608695652175,46.0,6.9
soxhlet,HC20,1,24,47.82608695652174,7.57,1.432291666666659,46.0,7.68
soxhlet,HC20,2,20,56.52173913043478,7.58,1.302083333333329,46.0,7.68
soxhlet,HC20,3,32,30.43478260869565,7.67,0.1302083333333306,46.0,7.68
soxhlet,HC23,1,26,55.17241379310344,6.91,4.426002766251733,58.0,7.23
soxhlet,HC23,2,20,65.51724137931035,7.25,-0.2766251728907271,58.0,7.23
soxhlet,HC23,3,26,55.17241379310344,6.8,5.947441217150768,58.0,7.23
soxhlet,HC26,1,20,64.91228070175438,6.57,12.86472148541114,57.0,7.54
soxhlet,HC26,2,20,64.91228070175438,6.41,14.9867374005305,57.0,7.54
soxhlet,HC26,3,24,57.89473684210526,6.98,7.427055702917766,57.0,7.54
soxhlet,HC27,1,30,40.0,7.64,2.922490470139777,50.0,7.87
soxhlet,HC27,2,20,60.0,7.57,3.811944091486656,50.0,7.87
soxhlet,HC27,3,28,44.0,7.63,3.049555273189329,50.0,7.87
soxhlet,HC28,1,20,60.0,6.43,14.72148541114059,50.0,7.54
soxhlet,HC28,2,14,72.0,6.0,20.42440318302387,50.0,7.54
soxhlet,HC28,3,24,52.0,6.57,12.86472148541114,50.0,7.54
soxhlet,H4B,1,20,70.58823529411765,7.21,9.535759096612292,68.0,7.97
soxhlet,H4B,2,18,73.52941176470588,7.15,10.28858218318694,68.0,7.97
soxhlet,H4B,3,14,79.41176470588235,7.51,5.771643663739021,68.0,7.97
soxhlet,H6B,1,14,78.46153846153847,6.28,20.90680100755667,65.0,7.94
soxhlet,H6B,2,16,75.38461538461539,7.41,6.675062972292195,65.0,7.94
soxhlet,H6B,3,16,75.38461538461539,7.15,9.94962216624685,65.0,7.94
soxhlet,H4G,1,14,74.07407407407408,7.11,7.180156657963445,54.0,7.66
soxhlet,H4G,2,20,62.96296296296296,6.78,11.48825065274151,54.0,7.66
soxhlet,H4G,3,20,62.96296296296296,6.82,10.96605744125326,54.0,7.66
soxhlet,H8G,1,20,33.33333333333334,7.79,-25.04012841091492,30.0,6.23
soxhlet,H8G,2,16,46.66666666666666,8.26,-32.58426966292134,30.0,6.23
soxhlet,H8G,3,11,63.33333333333334,7.11,-14.12520064205457,30.0,6.23
soxhlet,H11G,1,12,53.84615384615385,6.92,-11.97411003236246,26.0,6.18
soxhlet,H11G,2,12,53.84615384615385,6.02,2.588996763754048,26.0,6.18
soxhlet,H11G,3,11,57.69230769230769,7.42,-20.06472491909386,26.0,6.18
soxhlet,H1N,1,28,44.0,7.47,-0.1340482573726513,50.0,7.46
soxhlet,H1N,2,16,68.0,6.85,8.176943699731908,50.0,7.46
soxhlet,H1N,3,28,44.0,7.38,1.072386058981234,50.0,7.46
soxhlet,H2N,1,26,51.85185185185185,7.49,6.72478206724781,54.0,8.03
soxhlet,H2N,2,12,77.77777777777777,7.04,12.32876712328766,54.0,8.03
soxhlet,H2N,3,26,51.85185185185185,7.69,4.234122042341208,54.0,8.03
soxhlet,H3N,1,24,52.0,7.6,0.7832898172323824,50.0,7.66
soxhlet,H3N,2,12,76.0,6.96,9.138381201044387,50.0,7.66
soxhlet,H3N,3,26,48.0,7.72,-0.7832898172323709,50.0,7.66
soxhlet,H4N,1,22,62.06896551724138,6.51,7.528409090909095,58.0,7.04
soxhlet,H4N,2,14,75.86206896551724,6.4,9.090909090909086,58.0,7.04
soxhlet,H4N,3,24,58.62068965517241,6.93,1.562500000000004,58.0,7.04
soxhlet,H5N,1,26,56.66666666666666,6.15,20.84942084942084,60.0,7.77
soxhlet,H5N,2,16,73.33333333333333,5.9,24.06692406692406,60.0,7.77
soxhlet,H5N,3,26,56.66666666666666,6.34,18.4041184041184,60.0,7.77
soxhlet,H6N,1,30,40.0,7.41,3.515624999999995,50.0,7.68
soxhlet,H6N,2,16,68.0,7.1,7.552083333333335,50.0,7.68
soxhlet,H6N,3,26,48.0,6.62,13.80208333333333,50.0,7.68
soxhlet,H8N,1,22,70.27027027027027,5.85,23.72881355932204,74.0,7.67
soxhlet,H8N,2,20,72.97297297297297,7.86,-2.477183833116042,74.0,7.67
soxhlet,H8N,3,14,81.08108108108108,7.46,2.737940026075619,74.0,7.67
soxhlet,H9N,1,30,57.14285714285715,6.77,10.56803170409512,70.0,7.57
soxhlet,H9N,2,22,68.57142857142857,6.91,8.71862615587847,70.0,7.57
soxhlet,H9N,3,16,77.14285714285714,7.23,4.491413474240421,70.0,7.57
soxhlet,FU1,1,34,46.875,7.19,7.105943152454778,64.0,7.74
soxhlet,FU1,2,30,53.125,7.44,3.87596899224806,64.0,7.74
soxhlet,FU1,3,20,68.75,7.11,8.139534883720929,64.0,7.74
soxhlet,FU2 (UCMU21),1,20,68.75,7.07,-1.726618705035973,64.0,6.95
soxhlet,FU2 (UCMU21),2,20,68.75,6.78,2.446043165467625,64.0,6.95
soxhlet,FU2 (UCMU21),3,18,71.875,6.54,5.89928057553957,64.0,6.95
soxhlet,FUSARIUM JULIAN H20,1,20,70.58823529411765,7.11,-3.043478260869565,68.0,6.9
soxhlet,FUSARIUM JULIAN H20,2,20,70.58823529411765,6.81,1.304347826086967,68.0,6.9
soxhlet,FUSARIUM JULIAN H20,3,20,70.58823529411765,6.28,8.985507246376812,68.0,6.9
