par,p_valor,p_valor_ajustado
maceracion vs soxhlet,1.173631562677812e-22,1.760447344016718e-22
maceracion vs ultrasonido,2.7666817358957728e-27,8.30004520768732e-27
soxhlet vs ultrasonido,5.107874869340443e-05,5.107874869340443e-05
