par,p_valor,p_valor_ajustado
maceracion vs soxhlet,2.755230926754824e-23,4.132846390132236e-23
maceracion vs ultrasonido,1.2051631967082355e-27,3.615489590124707e-27
soxhlet vs ultrasonido,0.00018510085449433903,0.00018510085449433903
