metodo_extraccion,media,desviacion_estandar,error_estandar,ic95_inferior,ic95_superior,n
maceracion,29.239,23.748,2.463,24.349,34.13,93
soxhlet,4.432,9.194,0.953,2.539,6.326,93
ultrasonido,-0.17,8.679,0.9,-1.957,1.618,93
