test,estadistico,p_valor,interpretacion
Shapiro-Wilk (residuos),0.989,0.0328,Se rechaza normalidad de los residuos (p<0.05).
Levene (por metodo),2.7964,0.0628,Homocedasticidad aceptada (p>0.05).
Bartlett (por metodo),5.0053,0.0819,Homocedasticidad aceptada (p>0.05).
Durbin-Watson (independencia),2.7061,,Posible autocorrelacion (DW fuera de 1.5-2.5).
