par,estadistico_z,p_valor,p_valor_ajustado,letras
maceracion vs soxhlet,-8.830401891983003,0.0,0.0,sin letra comun
maceracion vs ultrasonido,-10.831393163486215,0.0,0.0,sin letra comun
soxhlet vs ultrasonido,-2.000991271503212,0.045393330535826726,0.045393330535826726,sin letra comun
