aislamiento,PC1,PC2,PC3,PC4,PC5,PC6
FU1,0.1590675424590804,0.32488280438844563,0.7745204479847559,0.6938843371731348,-0.6151475827114845,-0.4313203340464912
FU2 (UCMU21),-0.7100993538063277,2.695117926485993,0.41367000172017876,0.3423884539209236,0.5732374820558536,1.1377106494589777
FUSARIUM JULIAN H20,1.6250605586271194,-0.49168002027859165,-0.32145414750114226,-1.517428482118446,-0.09719337736351012,-0.08157142154002299
FUSARIUM MARCE 1.2,1.0756433729935688,-0.19499934104313316,1.2552405967501106,0.5478472191954,-0.4052553971546313,0.3885288555964384
H11G,-2.8366107788053347,2.675867833349439,0.1636928322213398,0.18791520516811805,0.17506490295253516,0.3202275101959087
H1N,-0.8377927989549147,-1.3571504442070483,0.4564839114805996,-0.6851966470353318,0.5829086764958199,0.38717250277112114
H2N,0.7822426124170706,-1.0550582653788807,-0.6108689196778145,-0.7997205659750646,1.0478944907074608,-0.05245934055769357
H3N,0.2934792320352024,0.5620571249305736,-0.019465819199595787,0.20920928952166662,-0.4097275569481245,-0.721297722370197
H4B,1.5094237279325486,0.47089972638214106,-0.5085621862400541,-0.028224066041810894,-0.2913642821473405,0.4466509675604179
H4G,0.9637637546672355,-0.016403453309782386,-0.11423801922330738,0.41086982996398597,-0.3268795992277772,0.2759680205319431
H4N,0.942109630868124,-0.26453502541545826,-0.41968056752145644,-0.4798986399385534,0.16706798861934924,0.005483440787281901
H5N,2.352783797564043,0.07017323676964482,1.0364726017104153,1.0142702905146477,0.516815547056679,-0.4252085964972167
H6B,2.3096031638693058,0.346891191699806,0.08825347640135082,-0.13038937316580515,-0.10997127841833809,0.46739341448157845
H6N,0.5880385242533309,-0.7631241323859942,1.0066260326569265,-0.3460915711403404,0.6358051176012688,-0.6000422205737074
H8G,-4.241070643646865,2.899597149142979,-0.5699575695351896,-0.6572875924115752,-0.20153519289136268,-0.5395437257803933
H8N,1.827837719621969,0.5168206116993337,0.14696701813154822,-0.4162683817889895,-0.28252960122545767,0.3648974867163507
H9N,1.3409734556454302,0.619568412426708,0.0935989141427518,0.18341387915027235,-0.38917765258948006,-0.20205697496231592
HC10,-0.2705008198123982,-1.1763718866341728,-0.4241663097317166,0.9392454333813258,0.908883900558056,0.074372585299119
HC15,-0.6062084862842625,0.3218919967730144,-0.3972910101251354,0.518098558635318,-0.7723700698903585,-0.8830153499847437
HC16,-0.9279328761232157,-0.6619184788863467,-2.4354479185960476,0.8091129793140872,0.07058916094242974,0.1829865859109727
HC17,-0.14214239323464517,-0.7529384916579216,0.14501381947318717,-0.9732482859817139,-0.31441878608110774,0.01640021062472922
HC19,-3.4375467906043253,-1.814121161663744,0.33003991629766627,0.3155743592810289,-0.4263414336956276,0.19986480935203516
HC20,-1.153842299674752,-2.299927009389221,0.44823582083469904,-0.5414138143120732,-0.2466144484429394,-0.1847932461677191
HC23,0.08973656123765841,-0.8015707002941558,-0.014839241272116794,-0.21710351016223395,-0.5302258326963016,-0.08649933632958742
HC26,1.2050636416282574,0.6034320059559897,-0.23607743544487092,0.6613890578674368,0.3797157577780655,-0.4915688769239701
HC27,-1.4011340976407423,-1.2778803687072378,1.1017215059541157,0.09659294765534437,-0.21928612960428906,0.42519918625991443
HC28,0.7496536288354329,0.5501308010312519,-0.5428747663477335,1.5424523519096789,0.5317737981451816,-0.06856343618219408
HC3,0.35779921586050556,2.579583196198564,0.8706783383165209,-1.2610262928721525,0.9710391917438677,-0.3955718154376709
HC5,-0.8244041602592895,-1.4978597910331521,-2.176292158497258,-0.25987365574812604,0.6679844478859333,-0.01816691489694256
HC6,-2.225466143427631,-1.6258407292883095,1.5200608383921974,0.3311000299604734,-0.07079851257946299,0.13078102644832407
HC9,1.442471501758824,0.8144652823392661,-1.0600600035549257,-0.49019334392062663,-1.5199437288749056,0.3580420602557541
