test,estadistico,p_valor,interpretacion
Shapiro-Wilk (residuos),0.8021,0.0,Se rechaza normalidad de los residuos (p<0.05).
Levene (por metodo),13.5316,0.0,Heterocedasticidad detectada (p<0.05).
Bartlett (por metodo),186.2385,0.0,Heterocedasticidad detectada (p<0.05).
Durbin-Watson (independencia),2.4556,,Independencia razonable (DW cercano a 2).
