metodo_extraccion,media,desviacion_estandar,error_estandar,ic95_inferior,ic95_superior,n
maceracion,86.349,15.913,1.65,83.072,89.626,93
soxhlet,59.593,13.617,1.412,56.788,62.397,93
ultrasonido,54.765,12.642,1.311,52.161,57.368,93
