aislado_id,metodo_extraccion,grupo_experimental,replica_biologica,concentracion_mg_ml,conidias_log10,porcentaje_inhibicion_hoja,extra_medicion,es_control,hoja_origen,fila_origen,conidias_crudo,control_conidias_log10,control_conidias_crudo,porcentaje_inhibicion,porcentaje_inhibicion_log10,inhibicion_completa,inhibicion_negativa,diferencia_con_hoja,logit_inhibicion
FU1,maceracion,Grupo 2 - H17,1,0.0,7.74,21.447028423772608,23.987941429801893,True,MACERACIÓN,84,54954087.38576248,7.74,54954087.38576248,,,False,False,,
FU1,maceracion,Grupo 2 - H17,2,0.0,,25.32299741602067,2.2014432246566864,True,MACERACIÓN,85,,7.74,54954087.38576248,,,False,False,,
FU1,maceracion,Grupo 2 - H17,3,0.0,,25.193798449612405,,True,MACERACIÓN,86,,7.74,54954087.38576248,,,False,False,,
FU1,maceracion,Grupo 2 - H17,1,0.2,,21.447028423772608,23.987941429801893,False,MACERACIÓN,84,,7.74,54954087.38576248,,,False,False,,
FU1,maceracion,Grupo 2 - H17,2,0.2,,25.32299741602067,2.2014432246566864,False,MACERACIÓN,85,,7.74,54954087.38576248,,,False,False,,
FU1,maceracion,Grupo 2 - H17,3,0.2,,25.193798449612405,,False,MACERACIÓN,86,,7.74,54954087.38576248,,,False,False,,
FU1,maceracion,Grupo 2 - H17,1,1.0,,21.447028423772608,23.987941429801893,False,MACERACIÓN,84,,7.74,54954087.38576248,,,False,False,,
FU1,maceracion,Grupo 2 - H17,2,1.0,,25.32299741602067,2.2014432246566864,False,MACERACIÓN,85,,7.74,54954087.38576248,,,False,False,,
FU1,maceracion,Grupo 2 - H17,3,1.0,,25.193798449612405,,False,MACERACIÓN,86,,7.74,54954087.38576248,,,False,False,,
FU1,maceracion,Grupo 2 - H17,1,5.0,6.08,21.447028423772608,23.987941429801893,False,MACERACIÓN,84,1202264.4346174132,7.74,54954087.38576248,97.81223837605046,21.447028423772608,False,False,76.36520995227785,3.8001707743632838
FU1,maceracion,Grupo 2 - H17,2,5.0,5.78,25.32299741602067,2.2014432246566864,False,MACERACIÓN,85,602559.5860743581,7.74,54954087.38576248,98.90352180385682,25.322997416020677,False,False,73.58052438783615,4.502041444020668
FU1,maceracion,Grupo 2 - H17,3,5.0,5.79,25.193798449612405,,False,MACERACIÓN,86,616595.0018614822,7.74,54954087.38576248,98.87798154569803,25.1937984496124,False,False,73.68418309608563,4.478757325680796
FU2 (UCMU21),maceracion,Grupo 3 - H25,1,0.0,6.95,100.0,78.51318944844125,True,MACERACIÓN,87,8912509.381337458,6.95,8912509.381337458,,,False,False,,
FU2 (UCMU21),maceracion,Grupo 3 - H25,2,0.0,,35.53956834532374,37.21624756790682,True,MACERACIÓN,88,,6.95,8912509.381337458,,,False,False,,
FU2 (UCMU21),maceracion,Grupo 3 - H25,3,0.0,,100.0,,True,MACERACIÓN,89,,6.95,8912509.381337458,,,False,False,,
FU2 (UCMU21),maceracion,Grupo 3 - H25,1,0.2,4.3,100.0,78.51318944844125,False,MACERACIÓN,87,19952.62314968879,6.95,8912509.381337458,99.77612788614316,38.129496402877706,False,False,-0.22387211385684225,6.099609265613115
FU2 (UCMU21),maceracion,Grupo 3 - H25,2,0.2,4.3,35.53956834532374,37.21624756790682,False,MACERACIÓN,88,19952.62314968879,6.95,8912509.381337458,99.77612788614316,38.129496402877706,False,False,64.23655954081943,6.099609265613115
