aislado_id,metodo_extraccion,grupo_experimental,replica_biologica,concentracion_mg_ml,crecimiento_mm,porcentaje_inhibicion_hoja,extra_medicion,es_control,hoja_origen,fila_origen
H1N,maceracion,Grupo 2 - H10,2,5.0,12.0,76.0,16.653327995729054,False,MACERACIÓN,61
H1N,maceracion,Grupo 2 - H10,3,5.0,28.0,44.0,,False,MACERACIÓN,62
H2N,maceracion,Grupo 2 - H11,1,5.0,24.0,55.55555555555556,69.1358024691358,False,MACERACIÓN,63
H2N,maceracion,Grupo 2 - H11,2,5.0,14.0,74.07407407407408,11.905741680238263,False,MACERACIÓN,64
H2N,maceracion,Grupo 2 - H11,3,5.0,12.0,77.77777777777777,,False,MACERACIÓN,65
H3N,maceracion,Grupo 2 - H12,1,5.0,0.0,100.0,100.0,False,MACERACIÓN,66
H3N,maceracion,Grupo 2 - H12,2,5.0,0.0,100.0,0.0,False,MACERACIÓN,67
H3N,maceracion,Grupo 2 - H12,3,5.0,0.0,100.0,,False,MACERACIÓN,68
H4N,maceracion,Grupo 2 - H13,1,5.0,14.0,75.86206896551724,82.75862068965517,False,MACERACIÓN,69
H4N,maceracion,Grupo 2 - H13,2,5.0,16.0,72.41379310344827,15.0306860122092,False,MACERACIÓN,70
H4N,maceracion,Grupo 2 - H13,3,5.0,0.0,100.0,,False,MACERACIÓN,71
H5N,maceracion,Grupo 2 - H14,1,5.0,0.0,100.0,100.0,False,MACERACIÓN,72
H5N,maceracion,Grupo 2 - H14,2,5.0,0.0,100.0,0.0,False,MACERACIÓN,73
H5N,maceracion,Grupo 2 - H14,3,5.0,0.0,100.0,,False,MACERACIÓN,74
H6N,maceracion,Grupo 2 - H15,1,5.0,16.0,68.0,80.0,False,MACERACIÓN,75
H6N,maceracion,Grupo 2 - H15,2,5.0,14.0,72.0,17.435595774162696,False,MACERACIÓN,76
H6N,maceracion,Grupo 2 - H15,3,5.0,0.0,100.0,,False,MACERACIÓN,77
H8N,maceracion,Grupo 3 - H24,1,5.0,0.0,100.0,92.7927927927928,False,MACERACIÓN,78
H8N,maceracion,Grupo 3 - H24,2,5.0,0.0,100.0,12.483249063559468,False,MACERACIÓN,79
H8N,maceracion,Grupo 3 - H24,3,5.0,16.0,78.37837837837837,,False,MACERACIÓN,80
H9N,maceracion,Grupo 2 - H16,1,5.0,0.0,100.0,100.0,False,MACERACIÓN,81
H9N,maceracion,Grupo 2 - H16,2,5.0,0.0,100.0,0.0,False,MACERACIÓN,82
H9N,maceracion,Grupo 2 - H16,3,5.0,0.0,100.0,,False,MACERACIÓN,83
FU1,maceracion,Grupo 2 - H17,1,5.0,0.0,100.0,100.0,False,MACERACIÓN,84
FU1,maceracion,Grupo 2 - H17,2,5.0,0.0,100.0,0.0,False,MACERACIÓN,85
FU1,maceracion,Grupo 2 - H17,3,5.0,0.0,100.0,,False,MACERACIÓN,86
FU2 (UCMU21),maceracion,Grupo 3 - H25,1,5.0,0.0,100.0,100.0,False,MACERACIÓN,87
FU2 (UCMU21),maceracion,Grupo 3 - H25,2,5.0,0.0,100.0,0.0,False,MACERACIÓN,88
FU2 (UCMU21),maceracion,Grupo 3 - H25,3,5.0,0.0,100.0,,False,MACERACIÓN,89
FUSARIUM JULIAN H20,maceracion,Grupo 4 - H18,1,5.0,12.0,82.3529411764706,78.43137254901961,False,MACERACIÓN,90
FUSARIUM JULIAN H20,maceracion,Grupo 4 - H18,2,5.0,20.0,70.58823529411765,6.792356108113244,False,MACERACIÓN,91
FUSARIUM JULIAN H20,maceracion,Grupo 4 - H18,3,5.0,12.0,82.3529411764706,,False,MACERACIÓN,92
FUSARIUM MARCE 1.2,maceracion,Grupo 3 - H27,1,5.0,0.0,100.0,91.1111111111111,False,MACERACIÓN,93
FUSARIUM MARCE 1.2,maceracion,Grupo 3 - H27,2,5.0,0.0,100.0,15.396007178390121,False,MACERACIÓN,94
FUSARIUM MARCE 1.2,maceracion,Grupo 3 - H27,3,5.0,16.0,73.33333333333333,,False,MACERACIÓN,95
HC3,maceracion,Grupo 3 - H19,1,1.0,30.0,100.0,100.0,False,MACERACIÓN,3
HC3,maceracion,Grupo 3 - H19,2,1.0,24.0,100.0,0.0,False,MACERACIÓN,4
